Set,Train Start,Train End,Test Start,Test End,Train N,Test N,Train Precision,Train Recall,Train F1,Test Precision,Test Recall,Test F1,Test Accuracy
1,1991-06-05,2005-05-09,2005-05-10,2008-05-09,3512,756,0.6009155222638368,0.7660477453580902,0.6735074626865671,0.5782312925170068,0.8076009501187649,0.6739345887016849,0.5648148148148148
2,1994-06-01,2008-05-09,2008-05-12,2011-05-10,3512,756,0.6087649402390438,0.7950052029136316,0.6895306859205776,0.5268065268065268,0.551219512195122,0.5387365911799762,0.4880952380952381
3,1997-05-28,2011-05-10,2011-05-11,2014-05-13,3512,756,0.5973097940311055,0.7594869053981828,0.6687058823529411,0.5597014925373134,0.8865248226950354,0.6861848124428179,0.5462962962962963
4,2000-05-25,2014-05-13,2014-05-14,2017-05-12,3512,756,0.5933931484502447,0.776,0.6725213773977351,0.5970772442588727,0.6777251184834123,0.634850166481687,0.5648148148148148
5,2003-06-03,2017-05-12,2017-05-15,2020-05-14,3512,756,0.5940383250532293,0.8646694214876033,0.7042490534286916,0.5742904841402338,0.7818181818181819,0.6621751684311838,0.5357142857142857
6,2006-06-02,2020-05-14,2020-05-15,2023-05-16,3512,756,0.5955510616784631,0.8978658536585366,0.7161094224924012,0.5803814713896458,0.5011764705882353,0.5378787878787878,0.5158730158730159
7,2009-06-04,2023-05-16,2023-05-17,2026-04-21,3512,734,0.5987983978638184,0.8978978978978979,0.7184621545855026,0.574430823117338,0.7645687645687645,0.656,0.5313351498637602
