Strategy,Annual Return,Sharpe Ratio,Sortino Ratio,Volatility,Max Drawdown,Average Daily Drawdown,Final Equity
Buy & Hold,0.08994980560641985,0.49023298045504443,0.5974573463177607,0.19192962562911303,-0.5677538774277284,-0.0861268000451014,5992339.902311836
Classic Dual Momentum,0.06430844971735095,0.4431770197303095,0.5423168250740796,0.14039495079025416,-0.3396949919060378,-0.061992693824383605,3681753.2214027746
ML Logistic Regression,0.0800035567632218,0.4715631276920498,0.5840283174134058,0.1742899802977203,-0.41907748634737996,-0.06634605234737947,5000470.032262827
