feature,coef,abs_coef
mom_90 mom_360 dd_60,0.8293607876300626,0.8293607876300626
mom_120 mom_360^2,0.7847416160149117,0.7847416160149117
mom_120 dd_60^2,-0.764155776643646,0.764155776643646
mom_120^3,-0.7598110959388,0.7598110959388
mom_180 mom_270,0.7424637810662511,0.7424637810662511
mom_90 mom_360 dd_120,0.7363526741573282,0.7363526741573282
mom_180 mom_270 dd_120,0.7262518831484192,0.7262518831484192
mom_300,-0.7103084415916271,0.7103084415916271
mom_180 mom_270 dd_15,0.6695581834414976,0.6695581834414976
mom_300^2 mom_360,-0.6327877238226857,0.6327877238226857
dd_90^3,0.632308955846686,0.632308955846686
mom_90 mom_120^2,-0.6294812404882233,0.6294812404882233
mom_180 dd_15^2,-0.6210154967266572,0.6210154967266572
mom_90 mom_360,0.6021643633168706,0.6021643633168706
mom_30 mom_270,-0.5858001414827001,0.5858001414827001
mom_120 dd_15 dd_60,-0.5770601886197048,0.5770601886197048
mom_180^3,0.5637172102843188,0.5637172102843188
mom_120 mom_300^2,0.5603029653523557,0.5603029653523557
mom_90^2 mom_300,-0.5596204388048543,0.5596204388048543
dd_15^2 dd_60,0.5485929289113848,0.5485929289113848
mom_180 mom_360^2,0.5417167393858565,0.5417167393858565
mom_60 mom_120 dd_90,-0.5368351086678184,0.5368351086678184
mom_90^2 mom_270,-0.5204068478757023,0.5204068478757023
mom_90 mom_360 dd_90,0.5169614101548503,0.5169614101548503
mom_90 mom_120 dd_90,-0.4929092010274105,0.4929092010274105
mom_180 dd_90,0.4924142979021265,0.4924142979021265
mom_60 mom_300 dd_90,-0.4884318763629795,0.4884318763629795
mom_300 mom_360 dd_15,-0.4859674305050431,0.4859674305050431
mom_300^3,-0.47826097021968234,0.47826097021968234
mom_300 mom_360 dd_60,-0.4747353045338841,0.4747353045338841
mom_60^2 mom_180,-0.4698082445589004,0.4698082445589004
mom_60 mom_180^2,-0.46940913213986907,0.46940913213986907
mom_300 mom_360 dd_90,-0.46216741326171457,0.46216741326171457
dd_15 dd_60^2,0.4598606496706333,0.4598606496706333
mom_90 mom_360 dd_15,0.456052204696555,0.456052204696555
mom_60 mom_180 mom_270,-0.4551265072197765,0.4551265072197765
mom_120^2 dd_90,-0.454033363079183,0.454033363079183
mom_180 dd_15 dd_120,-0.45318855881455894,0.45318855881455894
mom_30 mom_270 dd_15,-0.45318090469088157,0.45318090469088157
mom_180,0.4493317529848113,0.4493317529848113
mom_120 mom_300 mom_360,0.4492827130851036,0.4492827130851036
mom_30 dd_60,-0.4440871580063235,0.4440871580063235
mom_180^2 dd_60,-0.4436926390728323,0.4436926390728323
mom_120 dd_90,0.44326856755630867,0.44326856755630867
mom_60^2 mom_120,-0.43973793475538325,0.43973793475538325
mom_30 mom_90 dd_90,0.43751231234339377,0.43751231234339377
mom_120 mom_360 dd_90,-0.43610908766363,0.43610908766363
mom_270^2,0.4360366249071719,0.4360366249071719
mom_90^2 mom_360,-0.4344590823740354,0.4344590823740354
mom_30 dd_120,-0.4335836325452725,0.4335836325452725
mom_120,0.43276267757142156,0.43276267757142156
mom_300 mom_360^2,-0.4283003191083274,0.4283003191083274
mom_180^2 dd_90,-0.4264846623450599,0.4264846623450599
mom_360 dd_15,-0.42602745535194964,0.42602745535194964
mom_270^3,-0.42113772812444106,0.42113772812444106
mom_360 dd_120^2,0.4209769245980764,0.4209769245980764
mom_30 mom_90 dd_60,0.420159081148522,0.420159081148522
mom_270 mom_360 dd_60,-0.4101211781199009,0.4101211781199009
mom_90^2 dd_60,0.4082896473852534,0.4082896473852534
mom_360 dd_90^2,0.40660980210475356,0.40660980210475356
mom_120 mom_270 mom_360,0.4034918081569701,0.4034918081569701
mom_120 dd_120^2,0.39862490463544237,0.39862490463544237
mom_60 mom_270 dd_90,-0.395398774766679,0.395398774766679
mom_30 mom_120,-0.39328231559940074,0.39328231559940074
mom_180 dd_60,0.39270056763942185,0.39270056763942185
mom_270 mom_360 dd_90,-0.39024197452667836,0.39024197452667836
mom_60 dd_60^2,-0.38976890058649366,0.38976890058649366
mom_30 mom_270 dd_90,-0.3894928440887706,0.3894928440887706
mom_90^2 dd_120,0.38359846045716,0.38359846045716
mom_60 mom_300 dd_120,-0.3813331814136758,0.3813331814136758
mom_120 mom_360,-0.379282592335933,0.379282592335933
mom_90 mom_180 dd_90,-0.37893218190204314,0.37893218190204314
mom_60 mom_300 dd_60,-0.3778098974292182,0.3778098974292182
mom_90 mom_300,0.3774546351741976,0.3774546351741976
mom_60 mom_120 dd_120,-0.3770733095023585,0.3770733095023585
mom_360 dd_60,-0.3765971978691178,0.3765971978691178
mom_300 dd_120,-0.37202458562263924,0.37202458562263924
mom_90 mom_120 dd_15,-0.3688002374555543,0.3688002374555543
mom_360 dd_90 dd_120,0.3666678890878519,0.3666678890878519
mom_30 mom_90 dd_120,0.3664545389009506,0.3664545389009506
mom_180 mom_270 dd_60,0.36577318727389097,0.36577318727389097
mom_120 mom_270 mom_300,0.36377150365907396,0.36377150365907396
mom_120 dd_60,-0.3630012913081213,0.3630012913081213
dd_15^3,-0.3618970997438332,0.3618970997438332
mom_60 mom_120,-0.35844966375401505,0.35844966375401505
mom_270^2 dd_120,0.3582209591468239,0.3582209591468239
mom_60 mom_300,-0.3566629934105455,0.3566629934105455
mom_60 mom_180,0.35654845437121707,0.35654845437121707
mom_270 mom_360,-0.35444056841150434,0.35444056841150434
mom_90 mom_180 dd_15,-0.35284845697697137,0.35284845697697137
mom_360 dd_60 dd_90,0.35211334795653637,0.35211334795653637
mom_30 mom_270 dd_120,-0.35156755867707706,0.35156755867707706
mom_30 mom_120 dd_15,-0.3514204959595211,0.3514204959595211
dd_15 dd_90,-0.34821293261543357,0.34821293261543357
mom_60 mom_300 dd_15,-0.34702819331931967,0.34702819331931967
mom_180 mom_270 dd_90,0.3456814809919539,0.3456814809919539
mom_90 dd_60,-0.34452371944671023,0.34452371944671023
mom_60^2 mom_270,-0.3428928372117055,0.3428928372117055
mom_30 mom_120^2,0.34238968334493114,0.34238968334493114
mom_90 dd_15 dd_90,0.34144879430594616,0.34144879430594616
mom_60 mom_180 mom_360,-0.33751514492490026,0.33751514492490026
mom_270 mom_360 dd_15,-0.33750183605023526,0.33750183605023526
dd_90^2 dd_120,0.33690402115730617,0.33690402115730617
mom_30 mom_300 mom_360,-0.3362808999991926,0.3362808999991926
mom_30 mom_180 mom_300,-0.33560316573277155,0.33560316573277155
mom_60 mom_120 dd_60,-0.3318139713803151,0.3318139713803151
mom_90 mom_180^2,0.3307414238922869,0.3307414238922869
mom_30 mom_270 dd_60,-0.3296675546397998,0.3296675546397998
mom_90 dd_120,-0.3274136040443954,0.3274136040443954
mom_30^2 mom_90,0.32705301065493303,0.32705301065493303
mom_30 dd_15^2,-0.3250161813166581,0.3250161813166581
dd_15 dd_60,0.3250072411842064,0.3250072411842064
mom_60 dd_15 dd_60,-0.32490609151461514,0.32490609151461514
mom_60^2 mom_300,-0.3247779627314967,0.3247779627314967
dd_15^2 dd_90,-0.32365247506918327,0.32365247506918327
mom_90 mom_300 dd_120,0.323141549965156,0.323141549965156
mom_270^2 dd_15,0.32083793450659703,0.32083793450659703
mom_120 mom_180^2,0.32005162145233346,0.32005162145233346
mom_180 mom_360 dd_90,-0.3199221880182056,0.3199221880182056
mom_60 mom_270 dd_120,-0.3162177248188487,0.3162177248188487
mom_300 mom_360 dd_120,-0.31434396986411833,0.31434396986411833
mom_360^2 dd_120,0.3141547209959038,0.3141547209959038
dd_60 dd_90^2,0.31347137962268634,0.31347137962268634
mom_30 mom_300^2,-0.3131731055205817,0.3131731055205817
mom_360,-0.31110243334829746,0.31110243334829746
mom_30 dd_15,-0.3108256051954251,0.3108256051954251
mom_30 mom_90 mom_360,0.3103284030938462,0.3103284030938462
mom_120 dd_15,0.30954704823348494,0.30954704823348494
mom_30 mom_360^2,-0.3086723168748082,0.3086723168748082
mom_180 dd_60^2,0.3076220410201313,0.3076220410201313
mom_30 mom_270^2,-0.3032248214515124,0.3032248214515124
mom_60 mom_120 dd_15,-0.3006397560019301,0.3006397560019301
mom_60 mom_180 dd_15,0.30001148583793735,0.30001148583793735
mom_300 dd_15 dd_90,0.2997723604221687,0.2997723604221687
mom_60^2 mom_360,-0.29784491017959086,0.29784491017959086
mom_60 mom_120^2,-0.2934889514961022,0.2934889514961022
mom_60 mom_270,-0.2933033276314362,0.2933033276314362
dd_60^2 dd_120,-0.29157149371643626,0.29157149371643626
mom_120 mom_360 dd_15,-0.2896321593014704,0.2896321593014704
mom_120 mom_300 dd_90,-0.28355158873636,0.28355158873636
mom_60^3,-0.28259504435287985,0.28259504435287985
mom_120 mom_180 dd_90,-0.28223998725410815,0.28223998725410815
mom_60 mom_270^2,-0.27783471517279407,0.27783471517279407
mom_90^2 mom_120,-0.27666609859526853,0.27666609859526853
mom_90 mom_300 dd_60,0.2758685935652656,0.2758685935652656
mom_120^2 dd_15,-0.2755530740708715,0.2755530740708715
mom_60^2 mom_90,-0.2744092651724173,0.2744092651724173
mom_60 mom_180 mom_300,-0.27359090837508526,0.27359090837508526
mom_360 dd_60 dd_120,0.27280612615209165,0.27280612615209165
mom_90 mom_270 dd_90,-0.27264120258537927,0.27264120258537927
mom_180 mom_300^2,0.26802042038981505,0.26802042038981505
mom_30 mom_90 dd_15,0.2664196792654071,0.2664196792654071
mom_270 mom_300 mom_360,-0.264099504362987,0.264099504362987
mom_360 dd_120,-0.2607968137702691,0.2607968137702691
mom_90^2 dd_15,0.2606437089318107,0.2606437089318107
dd_15 dd_90^2,0.2603560046852082,0.2603560046852082
mom_90 mom_120,-0.2602535311568887,0.2602535311568887
mom_30^2,-0.26024166102660373,0.26024166102660373
mom_180 mom_300 dd_120,0.25968665653227563,0.25968665653227563
mom_30 mom_270 mom_360,-0.25964465914996315,0.25964465914996315
dd_60 dd_120,-0.2594853896394,0.2594853896394
